Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,/nextflow_runs/work/7d/08d2783d1084814af8165d1e2d97c1/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep2_R1.mzML,/nextflow_runs/work/28/9bec088bcb7fb3843db5f7c46e0085/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep4_R1.mzML,/nextflow_runs/work/0d/46a1e273674bf39ac22939255c5c1b/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep3_R1.mzML,/nextflow_runs/work/51/3e8009125250b1475b98133587a8a2/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep3_R1.mzML,/nextflow_runs/work/bc/68df10861519f9d6dc989ed6e132e5/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep1_R1.mzML,/nextflow_runs/work/c9/ab0965fec1300baecf563186c1a3bd/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep1_R1.mzML,/nextflow_runs/work/e5/8aeba0633abd65fc9dc44170acd0ec/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep2_R1.mzML,/nextflow_runs/work/7d/d93e795d31ba4e43bd910b97384596/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep4_R1.mzML
Q99LB6,Q99LB6,MAT2B_MOUSE,Mat2b,Methionine adenosyltransferase 2 subunit beta,90599.5,94491.7,87697.9,94301.6,95791.6,81825.4,92946.3,80753.2
Q99LB7,Q99LB7,SARDH_MOUSE,Sardh,"Sarcosine dehydrogenase, mitochondrial",677134,1.20E+06,1.14E+06,1.01E+06,1.17E+06,1.30E+06,1.14E+06,1.24E+06
Q99LC2,Q99LC2,CSTF1_MOUSE,Cstf1,Cleavage stimulation factor subunit 1,57046.6,63515.9,63441.9,54632.3,74365.6,78816.8,63143.2,58003.5
Q99LC3,Q99LC3,NDUAA_MOUSE,Ndufa10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",624506,613112,640526,663022,625585,570292,615664,650725
Q99LC5,Q99LC5,ETFA_MOUSE,Etfa,"Electron transfer flavoprotein subunit alpha, mitochondrial",3.12E+06,4.09E+06,3.78E+06,4.05E+06,3.73E+06,4.16E+06,3.61E+06,4.08E+06
Q99LC8,Q99LC8,EI2BA_MOUSE,Eif2b1,Translation initiation factor eIF-2B subunit alpha,32535.1,40326.6,38007.1,36809.7,41675.1,36988.5,37538.8,40982.1
Q99LC9,Q99LC9,PEX6_MOUSE,Pex6,Peroxisomal ATPase PEX6,4174.41,6322.33,7428.08,6455.32,4196.57,4664.41,5017.73,7442.29
Q99LD4,Q99LD4,CSN1_MOUSE,Gps1,COP9 signalosome complex subunit 1,398108,397229,454805,362739,423754,415698,439142,439492
Q99LD8,Q99LD8,DDAH2_MOUSE,Ddah2,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2",92526.1,99606.2,89655.3,92092.6,100687,86014,100468,87055.5
Q99LD8;Q9CWS0,Q9CWS0;Q99LD8,DDAH1_MOUSE;DDAH2_MOUSE,Ddah1;Ddah2,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2",237599,212968,271827,205376,275955,269069,267907,272554
Q99LD9,Q99LD9,EI2BB_MOUSE,Eif2b2,Translation initiation factor eIF-2B subunit beta,39338.4,42549.7,33798.9,42913.1,41410.8,39869.2,45639.6,38064.4
Q99LE6,Q99LE6,ABCF2_MOUSE,Abcf2,ATP-binding cassette sub-family F member 2,11793.6,7868.3,13654.9,10451.7,12779.2,13030.3,16402.9,11359.9
Q99LF4,Q99LF4,RTCB_MOUSE,Rtcb,RNA-splicing ligase RtcB homolog,61560.6,71831.1,61671.2,65028.2,65221,79259.8,68917.5,71818.2
Q99LG0,Q99LG0,UBP16_MOUSE,Usp16,Ubiquitin carboxyl-terminal hydrolase 16,,,29247.5,41739.8,31057.7,26050.4,27107.5,37145.7
Q99LG1,Q99LG1,TMM51_MOUSE,Tmem51,Transmembrane protein 51,5868.36,7825.41,6772.31,10445.3,4459.78,8975.47,10745.5,9220.68
Q99LG2,Q99LG2,TNPO2_MOUSE,Tnpo2,Transportin-2,19387.7,14731.7,17504.1,17228,17182.9,17975.1,14683.6,21698.2
Q99LI2,Q99LI2,CLCC1_MOUSE,Clcc1,Chloride channel CLIC-like protein 1,169767,190086,196290,181492,191331,173579,192690,198107
Q99LI5,Q99LI5,ZN281_MOUSE,Znf281,Zinc finger protein 281,,15950.6,,,,8155.76,8715.56,7916.77
Q99LI7,Q99LI7,CSTF3_MOUSE,Cstf3,Cleavage stimulation factor subunit 3,10317.7,20854.6,17619.5,22242.6,13774.3,16176.7,15460.3,17299.2
Q99LI8,Q99LI8,HGS_MOUSE,Hgs,Hepatocyte growth factor-regulated tyrosine kinase substrate,93014.2,116186,130534,110538,124162,131713,128888,123511
Q99LI9,Q99LI9,CLP1_MOUSE,Clp1,Polyribonucleotide 5'-hydroxyl-kinase Clp1,24715.8,18665.6,17280.8,18159.7,18994.5,22980.2,20201,17743.8
Q99LJ0,Q99LJ0,CT2NL_MOUSE,Cttnbp2nl,CTTNBP2 N-terminal-like protein,7978.91,16706.9,9004.48,8420.94,9155.12,7198.09,9337.66,9345.06
Q99LJ5,Q99LJ5,CKLF3_MOUSE,Cmtm3,CKLF-like MARVEL transmembrane domain-containing protein 3,3684.61,874.977,2771.66,974.895,1151.6,2613.21,1495.46,2292.66
Q99LJ6,Q99LJ6,GPX7_MOUSE,Gpx7,Glutathione peroxidase 7,,,2695.72,6745.79,4570.22,4730.36,,
Q99LM2,Q99LM2,CK5P3_MOUSE,Cdk5rap3,CDK5 regulatory subunit-associated protein 3,13302.5,20223.4,18671.4,24725.9,18015,29770.6,17128.2,22425.4
Q99LN9,Q99LN9,DOHH_MOUSE,Dohh,Deoxyhypusine hydroxylase,13671.6,13684,12029.7,12520.2,15089.3,11153.8,13387.8,8249.23
Q99LP6,Q99LP6,GRPE1_MOUSE,Grpel1,"GrpE protein homolog 1, mitochondrial",1.09E+06,1.60E+06,1.66E+06,1.36E+06,1.73E+06,1.56E+06,1.73E+06,1.81E+06
Q99LR1,Q99LR1,ABD12_MOUSE,Abhd12,Lysophosphatidylserine lipase ABHD12,29555.7,29704.2,30961.6,28860.8,26494.4,22284.6,28000.4,33068.7
Q99LS3,Q99LS3,SERB_MOUSE,Psph,Phosphoserine phosphatase,60718.8,68842.4,70060.9,75657.3,70866.6,59136.4,72222.3,70848.8
Q99LT0,Q99LT0,DPY30_MOUSE,Dpy30,Protein dpy-30 homolog,5546.4,2328.44,4587.61,,,3607.96,,3286.74
Q99LU0,Q99LU0,CH1B1_MOUSE,Chmp1b1,Charged multivesicular body protein 1B1,33324.9,35611.9,31023.9,34051,32799.3,37393,36441.6,31819.8
Q99LU0;Q9CQD4,Q99LU0;Q9CQD4,CH1B1_MOUSE;CH1B2_MOUSE,Chmp1b1;Chmp1b2,Charged multivesicular body protein 1B1,140574,133462,119849,122796,112910,146920,138001,138671
Q99LW6,Q99LW6,YAF2_MOUSE,Yaf2,YY1-associated factor 2,5124.08,5360.83,5095.32,4018.73,3475.21,3154.74,5042.16,2509.32
Q99LX0,Q99LX0,PARK7_MOUSE,Park7,Parkinson disease protein 7 homolog,1.70E+06,2.75E+06,2.73E+06,2.40E+06,2.96E+06,3.41E+06,3.14E+06,2.60E+06
Q99LY9,Q99LY9,NDUS5_MOUSE,Ndufs5,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,95267.3,336940,414602,253785,262400,499393,371842,440787
Q99M04,Q99M04,LIAS_MOUSE,Lias,"Lipoyl synthase, mitochondrial",89433.7,88490.5,76395.9,86653.7,90297.4,67533.8,75550.2,76011.3
Q99M07,Q99M07,COA5_MOUSE,Coa5,Cytochrome c oxidase assembly factor 5,15663.6,22907.6,21724.3,23145.6,22934,24064.6,28441.2,27304.2
Q99M28,Q99M28,RNPS1_MOUSE,Rnps1,RNA-binding protein with serine-rich domain 1,,,26183.7,12517,29835,45774.8,22684.2,17083.6
Q99M31,Q99M31,HSP7E_MOUSE,Hspa14,Heat shock 70 kDa protein 14,15952.1,17140.5,17401.2,15237.2,16767.6,12211.1,16065.6,14676.8
Q99M51,Q99M51,NCK1_MOUSE,Nck1,Cytoplasmic protein NCK1,67453.4,59534.4,52477.3,54365.8,74038.1,58498.1,57372.5,51737
Q99M87,Q99M87,DNJA3_MOUSE,Dnaja3,"DnaJ homolog subfamily A member 3, mitochondrial",60010.2,74427.2,77653.6,88963.5,72279,91067.9,71666.8,66961
Q99MB1,Q99MB1,TLR3_MOUSE,Tlr3,Toll-like receptor 3,27308.8,16223.3,18274.1,22112,17167.7,21854.9,22446.3,16989.7
Q99MB2,Q99MB2,MTFR1_MOUSE,Mtfr1,Mitochondrial fission regulator 1,4716.79,2996.64,3858.5,4556.17,7184.33,5195.05,6112.55,6709.04
Q99MB7,Q99MB7,RN141_MOUSE,Rnf141,RING finger protein 141,26115.2,29548.4,28712.1,29344.1,23391.2,19987.8,23916.6,26130.4
Q99MD6,Q99MD6,TRXR3_MOUSE,Txnrd3,Thioredoxin reductase 3,71973.1,76713.6,65511.1,61607.6,80933.9,60647.6,66354.6,72337.8
Q99MD9,Q99MD9,NASP_MOUSE,Nasp,Nuclear autoantigenic sperm protein,192058,179344,182023,206835,203204,166538,234804,154257
Q99ME9,Q99ME9,GTPB4_MOUSE,Gtpbp4,GTP-binding protein 4,,,,,5075.75,,1539.6,3337.78
Q99MI1,Q99MI1,RB6I2_MOUSE,Erc1,ELKS/Rab6-interacting/CAST family member 1,84152.9,86420.9,87581.6,89465.2,84905,81502.8,92786.1,88444.9
Q99MI6,Q8BWF2;Q99MI6,GIMA3_MOUSE,Gimap3,GTPase IMAP family member 3,,4681.3,,2850.59,5398.2,2008.74,,
Q99MJ9,Q99MJ9,DDX50_MOUSE,Ddx50,ATP-dependent RNA helicase DDX50,11832.2,5875.77,,10086.5,9397.81,8374.29,11227.9,10866.4
Q99MN1,Q99MN1,SYK_MOUSE,Kars1,Lysine--tRNA ligase,89740.7,119561,111786,103476,117976,117134,120530,115806
Q99MN9,Q99MN9,PCCB_MOUSE,Pccb,"Propionyl-CoA carboxylase beta chain, mitochondrial",292600,349582,390317,325334,345432,390020,350132,367733
Q99MP8,Q99MP8,BRAP_MOUSE,Brap,BRCA1-associated protein,51462.5,71239.1,60022.5,68708.5,77780.5,58776.5,65825.7,61694.2
Q99MR1,Q99MR1,GGYF1_MOUSE,Gigyf1,GRB10-interacting GYF protein 1,20516,22446.7,25994.5,27310.5,28451.3,19833.2,19973.1,25523.5
Q99MR3,Q99MR3,S12A9_MOUSE,Slc12a9,Solute carrier family 12 member 9,14490.8,14967.2,13204.1,10256.4,7028.41,9598.72,13239.7,10426.4
Q99MR6,Q99MR6,SRRT_MOUSE,Srrt,Serrate RNA effector molecule homolog,52394.2,56693.2,47678.9,54179.4,60400.2,58953.2,59765.9,60218
Q99MR8,Q99MR8,MCCA_MOUSE,Mccc1,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",102461,142767,134453,132160,139342,157843,142920,145788
Q99MR9,Q99MR9,PPR3A_MOUSE,Ppp1r3a,Protein phosphatase 1 regulatory subunit 3A,21533.3,25383.4,23926.9,18339.9,19989.3,9487.91,21447.9,30100.5
Q99MS3,Q99MS3,MP17L_MOUSE,Mpv17l,Mpv17-like protein,,2884.16,2430.8,3040.65,4488.38,,3361.34,
Q99MU3,Q99MU3,DSRAD_MOUSE,Adar,Double-stranded RNA-specific adenosine deaminase,,,4005.69,5996.96,,4147.75,3792.91,4808.78
Q99MW1,Q99MW1,STK31_MOUSE,Stk31,Serine/threonine-protein kinase 31,303224,308707,173139,316634,177427,81389.6,154898,214595
Q99MZ3,Q99MZ3,MLXPL_MOUSE,Mlxipl,Carbohydrate-responsive element-binding protein,28109.3,21244.4,24183.7,19216.4,33188.9,22174.9,30076.6,19853.8
Q99MZ7,Q99MZ7,PECR_MOUSE,Pecr,Peroxisomal trans-2-enoyl-CoA reductase,1.95E+06,1.91E+06,1.82E+06,1.73E+06,1.90E+06,1.56E+06,1.76E+06,1.92E+06
Q99N11,Q99N11,DUS22_MOUSE,Dusp22,Dual specificity protein phosphatase 22,,7525.15,6687.55,10676.7,4117,5983.71,6952.74,7849.51
Q99N13,Q99N13,HDAC9_MOUSE,Hdac9,Histone deacetylase 9,42207.8,17750.4,45965.4,43203.2,,,,37259.4
Q99N16,Q99N16,CP4F3_MOUSE,Cyp4f3,Cytochrome P450 4F3,205061,321890,326105,286243,390041,383015,410064,350618
Q99N16;Q9EP75,Q99N16;Q9EP75,CP4F3_MOUSE;CP4FE_MOUSE,Cyp4f14;Cyp4f3,Cytochrome P450 4F3,505789,513032,526453,498326,471837,998006,503729,661730
Q99N28,Q99N28,CADM3_MOUSE,Cadm3,Cell adhesion molecule 3,51896.8,75074.4,53062.4,62121.2,48020.9,49344.3,56364.9,66644.5
Q99N42,Q99N42,TYPH_MOUSE,Tymp,Thymidine phosphorylase,157079,170103,168072,154126,181253,174800,176573,180124
Q99N43,Q99N43,KREM1_MOUSE,Kremen1,Kremen protein 1,67384.5,60354.3,68809,85344.6,47994.4,44511.5,57349.3,62570.7
Q99N69,Q99N69,LPXN_MOUSE,Lpxn,Leupaxin,21611.8,19228.5,17861.9,17742.2,15449.5,13396.8,18529.2,22802
Q99N84,Q99N84,RT18B_MOUSE,Mrps18b,Small ribosomal subunit protein mS40,21833.8,36533.5,31687.3,37547.9,20696,24476.9,20840,32492.7
Q99N85,Q99N85,RT18A_MOUSE,Mrps18a,Large ribosomal subunit protein mL66,14552.5,15398.4,18113.8,41958.5,,12026.5,13607.9,14573.5
Q99N87,Q99N87,RT05_MOUSE,Mrps5,Small ribosomal subunit protein uS5m,50828.3,59820.4,67603.1,56154.3,58795.9,61176.7,63036.3,66071.7
Q99N89,Q99N89,RM43_MOUSE,Mrpl43,Large ribosomal subunit protein mL43,80702.3,101502,75632.4,106434,76332,83597.7,97181.8,84025.6
Q99N91,Q99N91,RM34_MOUSE,Mrpl34,Large ribosomal subunit protein bL34m,32781.3,24051.5,22305.1,24689.9,24452,18626.7,27214.5,22169.2
Q99N92,Q99N92,RM27_MOUSE,Mrpl27,Large ribosomal subunit protein bL27m,,,,,,1463.68,815.001,3422.88
Q99N93,Q99N93,RM16_MOUSE,Mrpl16,Large ribosomal subunit protein uL16m,10996.5,5802.53,6371.4,5277.6,6971.74,4570.13,,7042.19
Q99N94,Q99N94,RM09_MOUSE,Mrpl9,Large ribosomal subunit protein bL9m,25938.1,37796.8,36536.6,33702,44491.9,34692.8,39751.8,38856.1
Q99N95,Q99N95,RM03_MOUSE,Mrpl3,Large ribosomal subunit protein uL3m,,6380.92,5549.55,2739.54,,,3787.16,12625.4
Q99N96,Q99N96,RM01_MOUSE,Mrpl1,Large ribosomal subunit protein uL1m,66483.6,72014.5,76286.4,61771.5,76707.4,53013.4,51136.5,96552.1
Q99NB9,Q99NB9,SF3B1_MOUSE,Sf3b1,Splicing factor 3B subunit 1,41466.4,48220.9,56039.3,54316.7,49503.9,49621.6,49240.2,53587.1
Q99NF1,Q99NF1,BCDO2_MOUSE,Bco2,"Carotenoid-cleaving dioxygenase, mitochondrial",68401.5,67162.3,63138.1,61762.7,60605.7,76480.6,76554.7,64380.2
Q99NH0,Q99NH0,ANR17_MOUSE,Ankrd17,Ankyrin repeat domain-containing protein 17,17274.9,23586.4,19846,24687.6,23593.8,17838,19858.9,20595
Q99NH2,Q99NH2,PARD3_MOUSE,Pard3,Partitioning defective 3 homolog,103099,103520,91645.8,91117.6,78448.7,76377.5,77582.5,77380
Q99P27,Q99P27,PG12B_MOUSE,Pla2g12b,Group XIIB secretory phospholipase A2-like protein,163574,173617,161940,184258,143022,136435,127757,136314
Q99P30,Q99P30,NUDT7_MOUSE,Nudt7,Peroxisomal coenzyme A diphosphatase NUDT7,4.11E+06,4.30E+06,4.18E+06,4.18E+06,4.08E+06,3.63E+06,4.03E+06,4.13E+06
Q99P31,Q99P31,HPBP1_MOUSE,Hspbp1,Hsp70-binding protein 1,28846,31445.1,33449.6,40766.5,31465.1,27608.7,27691.7,31171.2
Q99P58,Q99P58,RB27B_MOUSE,Rab27b,Ras-related protein Rab-27B,13534.2,7696.15,10129.5,11068.9,12356.8,9990.04,11938.4,11458
Q99P72,Q99P72,RTN4_MOUSE,Rtn4,Reticulon-4,323335,458867,616315,482390,518252,508696,532749,577710
Q99P87,Q99P87,RETN_MOUSE,Retn,Resistin,7000.39,7616.09,6364.99,9599.22,7384.76,8915.29,9367.27,6003.38
Q99PE8,Q99PE8,ABCG5_MOUSE,Abcg5,ATP-binding cassette sub-family G member 5,43680,42147.6,53863.9,49063.6,49748.9,39718.8,41347.1,40412.1
Q99PG0,Q99PG0,AAAD_MOUSE,Aadac,Arylacetamide deacetylase,2.69E+06,4.16E+06,4.46E+06,3.48E+06,3.99E+06,4.14E+06,4.21E+06,4.31E+06
Q99PG2,Q99PG2,OGFR_MOUSE,Ogfr,Opioid growth factor receptor,159439,162362,142307,162732,145305,146550,134830,139827
Q99PL5,Q99PL5,RRBP1_MOUSE,Rrbp1,Ribosome-binding protein 1,3.16E+06,3.58E+06,3.54E+06,3.32E+06,3.57E+06,2.50E+06,3.44E+06,3.56E+06
Q99PL6,Q99PL6,UBXN6_MOUSE,Ubxn6,UBX domain-containing protein 6,14924.2,15505.2,8847.67,18969.7,24687.2,14052.6,15871.4,19694.8
Q99PM3,Q99PM3,TF2AA_MOUSE,Gtf2a1,Transcription initiation factor IIA subunit 1,47126.4,38141.4,39249.5,48474.5,45113.2,30317.3,44536.5,35162.2
Q99PP2,Q99PP2,ZN318_MOUSE,Znf318,Zinc finger protein 318,4098.13,7267.15,7514.02,4768.13,5802,5492.28,7087.59,5413.43
Q99PP6,Q99PP6,TR34A_MOUSE,Trim34a,E3 ubiquitin-protein ligase TRIM34A,,,2152.41,1326.07,,,,
Q99PP7,Q99PP7,TRI33_MOUSE,Trim33,E3 ubiquitin-protein ligase TRIM33,29408.2,38297.1,38627.8,34517.1,36611.7,38082.3,34883.7,37083.8
Q99PR8,Q99PR8,HSPB2_MOUSE,Hspb2,Heat shock protein beta-2,22934,,,27761,25121.5,,,
Q99PT1,Q99PT1,GDIR1_MOUSE,Arhgdia,Rho GDP-dissociation inhibitor 1,354584,595911,556909,413052,583600,632795,633823,563997
Q99PU8,Q99PU8,DHX30_MOUSE,Dhx30,ATP-dependent RNA helicase DHX30,10163,11255.3,7245.47,10834.4,9263.34,10281.9,13765.1,9750.93
Q99PV0,Q99PV0,PRP8_MOUSE,Prpf8,Pre-mRNA-processing-splicing factor 8,30556.1,19804.3,26481.1,28706.8,25289.6,27401.2,24612.6,29873.6
Q99PW4,Q99PW4,PRPKB_MOUSE,Tp53rkb,EKC/KEOPS complex subunit Tp53rkb,9380.89,8356.41,5829.5,,7392.68,4166.74,4194.45,
Q9BCZ4,Q9BCZ4,SELS_MOUSE,Selenos,Selenoprotein S,51045.8,59658.2,60016.6,62928.8,66131.9,60915.2,64982.1,70006.3
Q9CPP0,Q9CPP0,NPM3_MOUSE,Npm3,Nucleoplasmin-3,,,4433.24,,7010.33,6412.4,5336,8353.95
Q9CPP6,Q9CPP6,NDUA5_MOUSE,Ndufa5,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,259298,462650,429777,401483,557328,436462,494449,523023
Q9CPQ1,Q9CPQ1,COX6C_MOUSE,Cox6c,Cytochrome c oxidase subunit 6C,2.98E+06,6.88E+06,8.27E+06,5.52E+06,6.93E+06,8.24E+06,7.11E+06,7.50E+06
Q9CPQ8,Q9CPQ8,ATP5L_MOUSE,Atp5mg,"ATP synthase subunit g, mitochondrial",1.02E+06,1.00E+06,979413,960027,1.13E+06,1.00E+06,1.08E+06,1.05E+06
Q9CPR1,Q9CPR1,RWDD4_MOUSE,Rwdd4,RWD domain-containing protein 4,17789.9,25129.4,18011,17141.7,17809.8,23469.5,26037.3,16203.7
Q9CPR4,Q9CPR4,RL17_MOUSE,Rpl17,Large ribosomal subunit protein uL22,118906,132961,110862,123756,123590,149238,131150,143539
Q9CPR5,Q9CPR5,RM15_MOUSE,Mrpl15,Large ribosomal subunit protein uL15m,,5984.52,4371.17,4393.51,5916.86,12774.6,9119.65,7526.51
Q9CPR7,Q9CPR7,SIKE1_MOUSE,Sike1,Suppressor of IKBKE 1,10988.8,9927.81,10385.3,9087.37,11566.1,9540.66,9069.68,10307.7
Q9CPS6,Q9CPS6,HINT3_MOUSE,Hint3,Adenosine 5'-monophosphoramidase HINT3,41196.9,45937.5,48209.2,47747.2,42204.3,42877,48493.5,47605.7
Q9CPT3,Q9CPT3,NANP_MOUSE,Nanp,N-acylneuraminate-9-phosphatase,23865.5,31930.8,24673.1,17621.6,28979.4,35331.1,26877.6,30944.4
Q9CPT4,Q9CPT4,MYDGF_MOUSE,Mydgf,Myeloid-derived growth factor,449987,488242,546440,571189,557489,578636,520711,518696
Q9CPT5,Q9CPT5,NOP16_MOUSE,Nop16,Nucleolar protein 16,22071,29401.9,21815.2,17871.4,20534.6,18572.2,27396.6,21698.6
Q9CPU0,Q9CPU0,LGUL_MOUSE,Glo1,Lactoylglutathione lyase,389047,532703,666860,450368,625133,698443,579632,621846
Q9CPU2,Q9CPU2,NDUB2_MOUSE,Ndufb2,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial",106191,82078.8,75535.6,95773.2,90198.1,72671.9,100111,69737.9
Q9CPV4,Q9CPV4,GLOD4_MOUSE,Glod4,Glyoxalase domain-containing protein 4,309717,344904,331642,355446,349408,325131,340789,364111
Q9CPW3,Q9CPW3,RM54_MOUSE,Mrpl54,Large ribosomal subunit protein mL54,34956.4,55811.7,64170.3,47731,43822.2,58337,54516.6,48163.8
Q9CPW4,Q9CPW4,ARPC5_MOUSE,Arpc5,Actin-related protein 2/3 complex subunit 5,869123,897667,918409,992244,886030,848064,898489,815171
Q9CPW5,Q9CPW5,SSRB_MOUSE,Ssr2,Translocon-associated protein subunit beta,26738.6,36661.7,59968.9,41013.7,50056.1,89222.8,57942.3,59321.2
Q9CPW7,Q9CPW7,ZMAT2_MOUSE,Zmat2,Zinc finger matrin-type protein 2,29712.4,30626.6,35760.8,34455.3,34135.3,34892.4,33622.4,41245.7
Q9CPW9,Q9CPW9,MAP12_MOUSE,Metap1d,"Methionine aminopeptidase 1D, mitochondrial",5045.19,16355.9,13808.8,10805.5,23744.1,18026.6,13898,11306.4
Q9CPX6,Q9CPX6,ATG3_MOUSE,Atg3,Ubiquitin-like-conjugating enzyme ATG3,254560,401536,364925,337026,405836,339059,353960,500230
Q9CPX7,Q9CPX7,RT16_MOUSE,Mrps16,Small ribosomal subunit protein bS16m,31838.7,24138.4,20065.7,21583.9,24304.6,34248.6,25887.3,33404
Q9CPY7,Q9CPY7,AMPL_MOUSE,Lap3,Cytosol aminopeptidase,1.14E+06,1.28E+06,1.16E+06,1.16E+06,1.14E+06,1.14E+06,1.10E+06,1.12E+06
Q9CPZ6;Q9CQZ0,Q9CPZ6;Q9CQZ0,ORML2_MOUSE;ORML3_MOUSE,Ormdl2;Ormdl3,ORM1-like protein 3,179340,137039,168058,230111,157928,129996,157493,152016
Q9CPZ8,Q9CPZ8,COXM1_MOUSE,Cmc1,COX assembly mitochondrial protein homolog,159435,185244,186002,182968,207383,177783,167392,182410
Q9CQ00,Q9CQ00,DMAC1_MOUSE,Dmac1,Distal membrane-arm assembly complex protein 1,225154,199455,271326,236248,241264,184124,218836,252459
Q9CQ02,Q9CQ02,COMD4_MOUSE,Commd4,COMM domain-containing protein 4,12441.2,10908.2,8644.43,11102.3,10113.3,9267.05,12480.7,12358.1
Q9CQ06,Q9CQ06,RM24_MOUSE,Mrpl24,Large ribosomal subunit protein uL24m,2964.77,9455.47,10189.4,8187.27,,13011.5,,11764.5
Q9CQ10,Q9CQ10,CHMP3_MOUSE,Chmp3,Charged multivesicular body protein 3,164361,165062,138133,166320,170602,203070,175046,166668
Q9CQ18,Q9CQ18,RNH2C_MOUSE,Rnaseh2c,Ribonuclease H2 subunit C,8359.87,19594,13444.7,,8413.67,5943.04,35159.3,9392.66
Q9CQ19,Q9CQ19,MYL9_MOUSE,Myl9,Myosin regulatory light polypeptide 9,,9629.53,13812.7,11183.2,11574.9,10306.8,7401.44,8815.97
Q9CQ21,Q9CQ21,MCTS2_MOUSE,Mcts2,Malignant T-cell-amplified sequence 2,15006.4,22414.1,9685.22,10532.6,13198.7,11558.3,11786.5,14122.9
Q9CQ21;Q9DB27,Q9DB27;Q9CQ21,MCTS1_MOUSE;MCTS2_MOUSE,Mcts1;Mcts2,Malignant T-cell-amplified sequence 2,11781.1,33730.8,43766.1,27735.4,36678.7,33578.8,37067,36542.3
Q9CQ22,Q9CQ22,LTOR1_MOUSE,Lamtor1,Ragulator complex protein LAMTOR1,136136,171871,225795,193952,186983,227944,263556,228714
Q9CQ26,Q9CQ26,STABP_MOUSE,Stambp,STAM-binding protein,50634.2,47788.8,42027.9,40851.1,50250.9,46381.7,52982.8,58683.6
Q9CQ31,Q9CQ31,ASB11_MOUSE,Asb11,Ankyrin repeat and SOCS box protein 11,4228.24,8693.76,9130.42,9743.68,10892.7,6663.06,8524.16,13276.6
Q9CQ39,Q9CQ39,MED21_MOUSE,Med21,Mediator of RNA polymerase II transcription subunit 21,,5774.24,4270.72,,2014.14,2142.1,,
Q9CQ40,Q9CQ40,RM49_MOUSE,Mrpl49,Large ribosomal subunit protein mL49,,11717.5,9333.74,9699.7,20002.1,11296.4,15386.6,13778.4
Q9CQ43,Q9CQ43,DUT_MOUSE,Dut,Deoxyuridine 5'-triphosphate nucleotidohydrolase,11448.8,20785.6,22916.1,24801,26791.2,22340,21338.8,20898
Q9CQ48,Q9CQ48,NUDC2_MOUSE,Nudcd2,NudC domain-containing protein 2,211208,253017,241319,265364,243359,213592,234307,252024
Q9CQ49,Q9CQ49,NCBP2_MOUSE,Ncbp2,Nuclear cap-binding protein subunit 2,6391.64,6110,7529.95,8342.56,7978.67,10311.4,6967.57,8079.46
Q9CQ52,Q9CQ52,CEL3B_MOUSE,Cela3b,Chymotrypsin-like elastase family member 3B,10018.7,5633.38,7487.27,,2195.17,3258.35,1971.37,
Q9CQ54,Q9CQ54,NDUC2_MOUSE,Ndufc2,NADH dehydrogenase [ubiquinone] 1 subunit C2,161814,450115,537807,338989,500930,624083,522789,525117
Q9CQ56,Q9CQ56,USE1_MOUSE,Use1,Vesicle transport protein USE1,14433.9,14743.9,13160.2,14979.5,13625.3,10691.3,14171.5,18910.1
Q9CQ60,Q9CQ60,6PGL_MOUSE,Pgls,6-phosphogluconolactonase,289706,287429,288753,277015,403623,349798,345938,280235
Q9CQ62,Q9CQ62,DECR_MOUSE,Decr1,"2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial",3.48E+06,4.27E+06,4.14E+06,3.60E+06,3.89E+06,5.26E+06,4.28E+06,3.85E+06
Q9CQ65,Q9CQ65,MTAP_MOUSE,Mtap,S-methyl-5'-thioadenosine phosphorylase,377500,400952,397363,399778,446123,384589,474272,441464
Q9CQ69,Q9CQ69,QCR8_MOUSE,Uqcrq,Cytochrome b-c1 complex subunit 8,1.22E+06,1.18E+06,1.33E+06,1.21E+06,1.25E+06,1.26E+06,1.25E+06,1.40E+06
Q9CQ71,Q9CQ71,RFA3_MOUSE,Rpa3,Replication protein A 14 kDa subunit,11772.2,26225.4,15558.9,11630.8,17632.1,14390.4,15290.9,13497.8
Q9CQ73,Q9CQ73,PKP2_MOUSE,Pkp2,Plakophilin-2,16142,15155.1,21625.9,21703.6,31218.9,24594.8,26156.1,19938.7
